Lokasi Dealer,Tipe,Sub Kategori,Warna,Jenis Kelamin,Kota,Propinsi,Usia,Jenis Pembayaran,Pekerjaan,Pendidikan,Harga Jual
BOJONEGORO,BYSON FI (2UP1),NAKED,HITAM,PEREMPUAN,BOJONEGORO,JAWA TIMUR,41,TUNAI,WIRASWASTA,SMA,22440000
JOMBANG,FINO PREMIUM FI (1YD1),MATIC,HITAM,LAKI-LAKI,JOMBANG,JAWA TIMUR,56,TUNAI,PNS,SMA,16490000
MOJOKERTO,FINO PREMIUM FI (1YD1),MATIC,HITAM,LAKI-LAKI,MOJOKERTO,JAWA TIMUR,24,KREDIT,PELAJAR/MAHASISWA,SMA,16490000
SURABAYA,FINO PREMIUM FI (1YD1),MATIC,HITAM,LAKI-LAKI,SURABAYA,JAWA TIMUR,23,KREDIT,LAIN-LAIN,SMA,16490000
BOJONEGORO,FINO PREMIUM FI (1YD1),MATIC,HITAM,PEREMPUAN,BOJONEGORO,JAWA TIMUR,23,KREDIT,KARYAWAN SWASTA,SMA,16490000
JOMBANG,FINO PREMIUM FI (1YD1),MATIC,HITAM,LAKI-LAKI,JOMBANG,JAWA TIMUR,51,KREDIT,LAIN-LAIN,SMA,16490000
SURABAYA,FINO PREMIUM FI (1YD1),MATIC,HITAM,PEREMPUAN,SURABAYA,JAWA TIMUR,42,KREDIT,KARYAWAN SWASTA,SARJANA (S1),16490000
MOJOKERTO,FINO PREMIUM FI (1YD1),MATIC,HITAM,PEREMPUAN,MOJOKERTO,JAWA TIMUR,21,TUNAI,PELAJAR/MAHASISWA,SMA,16490000
JOMBANG,FINO PREMIUM FI (1YD1),MATIC,PUTIH,PEREMPUAN,JOMBANG,JAWA TIMUR,22,KREDIT,PELAJAR/MAHASISWA,SMA,16490000
JOMBANG,FINO PREMIUM FI (1YD1),MATIC,PUTIH,LAKI-LAKI,JOMBANG,JAWA TIMUR,26,KREDIT,KARYAWAN SWASTA,SMA,16490000
MOJOKERTO,FORCE ELEGAN (1FD1),MOPED,PUTIH,LAKI-LAKI,MOJOKERTO,JAWA TIMUR,27,TUNAI,PELAJAR/MAHASISWA,SMA,15100000
SURABAYA,JUPITER MX 150 (2PV2),MOPED,PUTIH,LAKI-LAKI,MOJOKERTO,JAWA TIMUR,55,KREDIT,WIRASWASTA,SMA,19775000
SIDOARJO,JUPITER Z CW FI,MOPED,HITAM,PEREMPUAN,SIDOARJO,JAWA TIMUR,58,TUNAI,PROFESIONAL (GURU/DOSEN/DOKTER),AKADEMI/DIPLOMA,17060000
